T_eva / kPa;T_h / K;T_pp / k;T_sh / k;T_sc / k;T_con / K;E_th;E_ex
500;450;9;0;10;308,15;0,097228631;0,2789473
500;460;9;0;10;308,15;0,097228631;0,26805616
500;470;9;0;10;308,15;0,097228631;0,258396701
500;480;9;0;10;308,15;0,097228631;0,249771169
500;400;11;0;10;308,15;0,097228631;0,363981772
500;410;11;0;10;308,15;0,097228631;0,341153091
500;420;11;0;10;308,15;0,097228631;0,321923729
500;430;11;0;10;308,15;0,097228631;0,30550465
500;440;11;0;10;308,15;0,097228631;0,291321741
500;450;11;0;10;308,15;0,097228631;0,2789473
500;460;11;0;10;308,15;0,097228631;0,26805616
500;470;11;0;10;308,15;0,097228631;0,258396701
500;480;11;0;10;308,15;0,097228631;0,249771169
500;400;13;0;10;308,15;0,097228631;0,363981772
500;410;13;0;10;308,15;0,097228631;0,341153091
500;420;13;0;10;308,15;0,097228631;0,321923729
500;430;13;0;10;308,15;0,097228631;0,30550465
500;440;13;0;10;308,15;0,097228631;0,291321741
500;450;13;0;10;308,15;0,097228631;0,2789473
500;460;13;0;10;308,15;0,097228631;0,26805616
500;470;13;0;10;308,15;0,097228631;0,258396701
500;480;13;0;10;308,15;0,097228631;0,249771169
500;400;15;0;10;308,15;0,097228631;0,363981772
500;410;15;0;10;308,15;0,097228631;0,341153091
500;420;15;0;10;308,15;0,097228631;0,321923729
500;430;15;0;10;308,15;0,097228631;0,30550465
500;440;15;0;10;308,15;0,097228631;0,291321741
500;450;15;0;10;308,15;0,097228631;0,2789473
500;460;15;0;10;308,15;0,097228631;0,26805616
500;470;15;0;10;308,15;0,097228631;0,258396701
500;480;15;0;10;308,15;0,097228631;0,249771169
500;400;17;0;10;308,15;0,097228631;0,363981772
500;410;17;0;10;308,15;0,097228631;0,341153091
500;420;17;0;10;308,15;0,097228631;0,321923729
500;430;17;0;10;308,15;0,097228631;0,30550465
500;440;17;0;10;308,15;0,097228631;0,291321741
500;450;17;0;10;308,15;0,097228631;0,2789473
500;460;17;0;10;308,15;0,097228631;0,26805616
500;470;17;0;10;308,15;0,097228631;0,258396701
500;480;17;0;10;308,15;0,097228631;0,249771169
500;400;19;0;10;308,15;0,097228631;0,363981772
500;410;19;0;10;308,15;0,097228631;0,341153091
500;420;19;0;10;308,15;0,097228631;0,321923729
500;430;19;0;10;308,15;0,097228631;0,30550465
500;440;19;0;10;308,15;0,097228631;0,291321741
500;450;19;0;10;308,15;0,097228631;0,2789473
500;460;19;0;10;308,15;0,097228631;0,26805616
500;470;19;0;10;308,15;0,097228631;0,258396701
500;480;19;0;10;308,15;0,097228631;0,249771169
500;400;5;0;0;310,15;0,098009761;0,366905984
500;410;5;0;0;310,15;0,098009761;0,343893898
500;420;5;0;0;310,15;0,098009761;0,324510048
500;430;5;0;0;310,15;0,098009761;0,307959059
500;440;5;0;0;310,15;0,098009761;0,293662205
500;450;5;0;0;310,15;0,098009761;0,281188348
500;460;5;0;0;310,15;0,098009761;0,270209709
500;470;5;0;0;310,15;0,098009761;0,260472647
500;480;5;0;0;310,15;0,098009761;0,251777818
500;400;7;0;0;310,15;0,098009761;0,366905984
500;410;7;0;0;310,15;0,098009761;0,343893898
500;420;7;0;0;310,15;0,098009761;0,324510048
500;430;7;0;0;310,15;0,098009761;0,307959059
500;440;7;0;0;310,15;0,098009761;0,293662205
500;450;7;0;0;310,15;0,098009761;0,281188348
500;460;7;0;0;310,15;0,098009761;0,270209709
500;470;7;0;0;310,15;0,098009761;0,260472647
500;480;7;0;0;310,15;0,098009761;0,251777818
500;400;9;0;0;310,15;0,098009761;0,366905984
500;410;9;0;0;310,15;0,098009761;0,343893898
500;420;9;0;0;310,15;0,098009761;0,324510048
500;430;9;0;0;310,15;0,098009761;0,307959059
500;440;9;0;0;310,15;0,098009761;0,293662205
500;450;9;0;0;310,15;0,098009761;0,281188348
500;460;9;0;0;310,15;0,098009761;0,270209709
500;470;9;0;0;310,15;0,098009761;0,260472647
500;480;9;0;0;310,15;0,098009761;0,251777818
500;400;11;0;0;310,15;0,098009761;0,366905984
500;410;11;0;0;310,15;0,098009761;0,343893898
500;420;11;0;0;310,15;0,098009761;0,324510048
500;430;11;0;0;310,15;0,098009761;0,307959059
500;440;11;0;0;310,15;0,098009761;0,293662205
500;450;11;0;0;310,15;0,098009761;0,281188348
500;460;11;0;0;310,15;0,098009761;0,270209709
500;470;11;0;0;310,15;0,098009761;0,260472647
500;480;11;0;0;310,15;0,098009761;0,251777818
500;400;13;0;0;310,15;0,098009761;0,366905984
500;410;13;0;0;310,15;0,098009761;0,343893898
500;420;13;0;0;310,15;0,098009761;0,324510048
500;430;13;0;0;310,15;0,098009761;0,307959059
500;440;13;0;0;310,15;0,098009761;0,293662205
500;450;13;0;0;310,15;0,098009761;0,281188348
500;460;13;0;0;310,15;0,098009761;0,270209709
500;470;13;0;0;310,15;0,098009761;0,260472647
500;480;13;0;0;310,15;0,098009761;0,251777818
500;400;15;0;0;310,15;0,098009761;0,366905984
500;410;15;0;0;310,15;0,098009761;0,343893898
500;420;15;0;0;310,15;0,098009761;0,324510048
500;430;15;0;0;310,15;0,098009761;0,307959059
500;440;15;0;0;310,15;0,098009761;0,293662205
500;450;15;0;0;310,15;0,098009761;0,281188348
500;460;15;0;0;310,15;0,098009761;0,270209709
500;470;15;0;0;310,15;0,098009761;0,260472647
500;480;15;0;0;310,15;0,098009761;0,251777818
500;400;17;0;0;310,15;0,098009761;0,366905984
500;410;17;0;0;310,15;0,098009761;0,343893898
500;420;17;0;0;310,15;0,098009761;0,324510048
500;430;17;0;0;310,15;0,098009761;0,307959059
500;440;17;0;0;310,15;0,098009761;0,293662205
500;450;17;0;0;310,15;0,098009761;0,281188348
500;460;17;0;0;310,15;0,098009761;0,270209709
500;470;17;0;0;310,15;0,098009761;0,260472647
500;480;17;0;0;310,15;0,098009761;0,251777818
500;400;19;0;0;310,15;0,098009761;0,366905984
500;410;19;0;0;310,15;0,098009761;0,343893898
500;420;19;0;0;310,15;0,098009761;0,324510048
500;430;19;0;0;310,15;0,098009761;0,307959059
500;440;19;0;0;310,15;0,098009761;0,293662205
500;450;19;0;0;310,15;0,098009761;0,281188348
500;460;19;0;0;310,15;0,098009761;0,270209709
500;470;19;0;0;310,15;0,098009761;0,260472647
500;480;19;0;0;310,15;0,098009761;0,251777818
500;400;5;0;2;310,15;0,097118362;0,363568974
500;410;5;0;2;310,15;0,097118362;0,340766183
500;420;5;0;2;310,15;0,097118362;0,321558629
500;430;5;0;2;310,15;0,097118362;0,305158171
500;440;5;0;2;310,15;0,097118362;0,290991347
500;450;5;0;2;310,15;0,097118362;0,27863094
500;460;5;0;2;310,15;0,097118362;0,267752152
500;470;5;0;2;310,15;0,097118362;0,258103648
500;480;5;0;2;310,15;0,097118362;0,249487898
500;400;7;0;2;310,15;0,097118362;0,363568974
500;410;7;0;2;310,15;0,097118362;0,340766183
500;420;7;0;2;310,15;0,097118362;0,321558629
500;430;7;0;2;310,15;0,097118362;0,305158171
500;440;7;0;2;310,15;0,097118362;0,290991347
500;450;7;0;2;310,15;0,097118362;0,27863094
500;460;7;0;2;310,15;0,097118362;0,267752152
500;470;7;0;2;310,15;0,097118362;0,258103648
500;480;7;0;2;310,15;0,097118362;0,249487898
500;400;9;0;2;310,15;0,097118362;0,363568974
500;410;9;0;2;310,15;0,097118362;0,340766183
500;420;9;0;2;310,15;0,097118362;0,321558629
500;430;9;0;2;310,15;0,097118362;0,305158171
500;440;9;0;2;310,15;0,097118362;0,290991347
500;450;9;0;2;310,15;0,097118362;0,27863094
